service_id,date,exception_type
UH+01#3,20250926,2
UH+01#3,20250929,2
UH+01#3,20250930,2
UH+01#3,20251001,2
UH+01#3,20251002,2
UH+01#3,20251003,2
UH+01#3,20251006,2
UH+01#3,20251007,2
UH+01#3,20251008,2
UH+01#3,20251009,2
UH+01#3,20251010,2
UH+01#3,20251013,2
UH+01#3,20251014,2
UH+01#3,20251015,2
UH+01#3,20251016,2
UH+01#3,20251017,2
UH+01#3,20251020,2
UH+01#3,20251021,2
UH+01#3,20251022,2
UH+01#3,20251023,2
UH+01#3,20251024,2
UH+01#3,20251027,2
UH+01#3,20251028,2
UH+01#3,20251029,2
UH+01#3,20251030,2
UH+01#3,20251031,2
UH+01#3,20251103,2
UH+01#3,20251104,2
UH+01#3,20251105,2
UH+01#3,20251106,2
UH+01#3,20251107,2
UH+01#3,20251110,2
UH+01#3,20251111,2
UH+01#3,20251112,2
UH+01#3,20251113,2
UH+01#3,20251114,2
UH+01#3,20251117,2
UH+01#3,20251118,2
UH+01#3,20251119,2
UH+01#3,20251120,2
UH+01#3,20251121,2
UH+01#3,20251124,2
UH+01#3,20251125,2
UH+01#3,20251126,2
UH+01#3,20251127,2
UH+01#3,20251128,2
UH+01#4,20250806,2
UH+01#4,20250807,2
UH+01#4,20250808,2
UH+01#4,20250811,2
UH+01#4,20250812,2
UH+01#4,20250813,2
UH+01#4,20250814,2
UH+01#4,20250815,2
UH+01#4,20250818,2
UH+01#4,20250819,2
UH+01#4,20250820,2
UH+01#4,20250821,2
UH+01#4,20250822,2
UH+01#4,20250825,2
UH+01#4,20250826,2
UH+01#4,20250827,2
UH+01#4,20250828,2
UH+01#4,20250829,2
UH+01#4,20250901,2
UH+01#4,20250902,2
UH+01#4,20250903,2
UH+01#4,20250904,2
UH+01#4,20250905,2
UH+01#4,20250908,2
UH+01#4,20250909,2
UH+01#4,20250910,2
UH+01#4,20250911,2
UH+01#4,20250912,2
UH+01#4,20250915,2
UH+01#4,20251003,2
UH+01#4,20251103,2
UH+01#4,20251104,2
UH+01#4,20251105,2
UH+01#4,20251106,2
UH+01#4,20251107,2
UH+01#4,20251119,2
UH+14,20250815,2
UH+14,20250916,2
UH+14,20250917,2
UH+14,20250918,2
UH+14,20250919,2
UH+14,20250922,2
UH+14,20250923,2
UH+14,20250924,2
UH+14,20250925,2
UH+14,20250926,2
UH+14,20250929,2
UH+14,20250930,2
UH+14,20251001,2
UH+14,20251002,2
UH+14,20251003,2
UH+14,20251006,2
UH+14,20251007,2
UH+14,20251008,2
UH+14,20251009,2
UH+14,20251010,2
UH+14,20251013,2
UH+14,20251014,2
UH+14,20251015,2
UH+14,20251016,2
UH+14,20251017,2
UH+14,20251020,2
UH+14,20251021,2
UH+14,20251022,2
UH+14,20251023,2
UH+14,20251024,2
UH+14,20251027,2
UH+14,20251028,2
UH+14,20251029,2
UH+14,20251030,2
UH+14,20251031,2
UH+14,20251110,2
UH+14,20251111,2
UH+14,20251112,2
UH+14,20251113,2
UH+14,20251114,2
UH+14,20251117,2
UH+14,20251118,2
UH+14,20251120,2
UH+14,20251121,2
UH+14,20251124,2
UH+14,20251125,2
UH+14,20251126,2
UH+14,20251127,2
UH+14,20251128,2
UH+14,20251201,2
UH+14,20251202,2
UH+14,20251203,2
UH+14,20251204,2
UH+14,20251205,2
UH+14,20251208,2
UH+14,20251209,2
UH+14,20251210,2
UH+14,20251211,2
UH+14,20251212,2
UH+14#1,20250806,2
UH+14#1,20250807,2
UH+14#1,20250808,2
UH+14#1,20250811,2
UH+14#1,20250812,2
UH+14#1,20250813,2
UH+14#1,20250814,2
UH+14#1,20250815,2
UH+14#1,20250818,2
UH+14#1,20250819,2
UH+14#1,20250820,2
UH+14#1,20250821,2
UH+14#1,20250822,2
UH+14#1,20250825,2
UH+14#1,20250826,2
UH+14#1,20250827,2
UH+14#1,20250828,2
UH+14#1,20250829,2
UH+14#1,20250901,2
UH+14#1,20250902,2
UH+14#1,20250903,2
UH+14#1,20250904,2
UH+14#1,20250905,2
UH+14#1,20250908,2
UH+14#1,20250909,2
UH+14#1,20250910,2
UH+14#1,20250911,2
UH+14#1,20250912,2
UH+14#1,20250915,2
UH+14#1,20250916,2
UH+14#1,20250917,2
UH+14#1,20250918,2
UH+14#1,20250919,2
UH+14#1,20250922,2
UH+14#1,20250923,2
UH+14#1,20250924,2
UH+14#1,20250925,2
UH+14#1,20250926,2
UH+14#1,20250929,2
UH+14#1,20250930,2
UH+14#1,20251001,2
UH+14#1,20251002,2
UH+14#1,20251003,2
UH+14#1,20251006,2
UH+14#1,20251007,2
UH+14#1,20251008,2
UH+14#1,20251009,2
UH+14#1,20251010,2
UH+14#1,20251013,2
UH+14#1,20251014,2
UH+14#1,20251015,2
UH+14#1,20251016,2
UH+14#1,20251017,2
UH+14#1,20251020,2
UH+14#1,20251021,2
UH+14#1,20251022,2
UH+14#1,20251023,2
UH+14#1,20251024,2
UH+14#1,20251027,2
UH+14#1,20251028,2
UH+14#1,20251029,2
UH+14#1,20251030,2
UH+14#1,20251031,2
UH+14#1,20251103,2
UH+14#1,20251104,2
UH+14#1,20251105,2
UH+14#1,20251106,2
UH+14#1,20251107,2
UH+14#1,20251110,2
UH+14#1,20251111,2
UH+14#1,20251112,2
UH+14#1,20251113,2
UH+14#1,20251114,2
UH+14#1,20251117,2
UH+14#1,20251118,2
UH+14#1,20251119,2
UH+14#1,20251120,2
UH+14#1,20251121,2
UH+14#1,20251124,2
UH+14#1,20251125,2
UH+14#1,20251126,2
UH+14#1,20251127,2
UH+14#1,20251128,2
UH+14#1,20251201,2
UH+14#1,20251202,2
UH+14#1,20251203,2
UH+14#1,20251204,2
UH+14#1,20251205,2
UH+14#1,20251208,2
UH+14#1,20251209,2
UH+14#1,20251210,2
UH+14#1,20251211,2
UH+14#1,20251212,2
UH+14#2,20250815,2
UH+14#2,20250916,2
UH+14#2,20250917,2
UH+14#2,20250918,2
UH+14#2,20250919,2
UH+14#2,20250922,2
UH+14#2,20250923,2
UH+14#2,20250924,2
UH+14#2,20250925,2
UH+14#2,20250926,2
UH+14#2,20250929,2
UH+14#2,20250930,2
UH+14#2,20251001,2
UH+14#2,20251002,2
UH+14#2,20251003,2
UH+14#2,20251006,2
UH+14#2,20251007,2
UH+14#2,20251008,2
UH+14#2,20251009,2
UH+14#2,20251010,2
UH+14#2,20251013,2
UH+14#2,20251014,2
UH+14#2,20251015,2
UH+14#2,20251016,2
UH+14#2,20251017,2
UH+14#2,20251020,2
UH+14#2,20251021,2
UH+14#2,20251022,2
UH+14#2,20251023,2
UH+14#2,20251024,2
UH+14#2,20251027,2
UH+14#2,20251028,2
UH+14#2,20251029,2
UH+14#2,20251030,2
UH+14#2,20251031,2
UH+14#2,20251110,2
UH+14#2,20251111,2
UH+14#2,20251112,2
UH+14#2,20251113,2
UH+14#2,20251114,2
UH+14#2,20251117,2
UH+14#2,20251118,2
UH+14#2,20251120,2
UH+14#2,20251121,2
UH+14#2,20251124,2
UH+14#2,20251125,2
UH+14#2,20251126,2
UH+14#2,20251127,2
UH+14#2,20251128,2
UH+f8,20250815,2
UH+f8,20251003,2
UH+f8#1,20250806,2
UH+f8#1,20250807,2
UH+f8#1,20250808,2
UH+f8#1,20250811,2
UH+f8#1,20250812,2
UH+f8#1,20250813,2
UH+f8#1,20250814,2
UH+f8#1,20250815,2
UH+f8#1,20250818,2
UH+f8#1,20250819,2
UH+f8#1,20250820,2
UH+f8#1,20250821,2
UH+f8#1,20250822,2
UH+f8#1,20250825,2
UH+f8#1,20250826,2
UH+f8#1,20250827,2
UH+f8#1,20250828,2
UH+f8#1,20250829,2
UH+f8#1,20250901,2
UH+f8#1,20250902,2
UH+f8#1,20250903,2
UH+f8#1,20250904,2
UH+f8#1,20250905,2
UH+f8#1,20250908,2
UH+f8#1,20250909,2
UH+f8#1,20250910,2
UH+f8#1,20250911,2
UH+f8#1,20250912,2
UH+f8#1,20250915,2
UH+f8#1,20250916,2
UH+f8#1,20250917,2
UH+f8#1,20250918,2
UH+f8#1,20250919,2
UH+f8#1,20250922,2
UH+f8#1,20250923,2
UH+f8#1,20250924,2
UH+f8#1,20250925,2
UH+f8#1,20250926,2
UH+f8#1,20250929,2
UH+f8#1,20250930,2
UH+f8#1,20251001,2
UH+f8#1,20251002,2
UH+f8#1,20251003,2
UH+f8#1,20251006,2
UH+f8#1,20251007,2
UH+f8#1,20251008,2
UH+f8#1,20251009,2
UH+f8#1,20251010,2
UH+f8#1,20251013,2
UH+f8#1,20251014,2
UH+f8#1,20251015,2
UH+f8#1,20251016,2
UH+f8#1,20251017,2
UH+f8#1,20251020,2
UH+f8#1,20251021,2
UH+f8#1,20251022,2
UH+f8#1,20251023,2
UH+f8#1,20251024,2
UH+f8#1,20251027,2
UH+f8#1,20251028,2
UH+f8#1,20251029,2
UH+f8#1,20251030,2
UH+f8#1,20251031,2
UH+f8#1,20251103,2
UH+f8#1,20251104,2
UH+f8#1,20251105,2
UH+f8#1,20251106,2
UH+f8#1,20251107,2
UH+f8#1,20251110,2
UH+f8#1,20251111,2
UH+f8#1,20251112,2
UH+f8#1,20251113,2
UH+f8#1,20251114,2
UH+f8#1,20251117,2
UH+f8#1,20251118,2
UH+f8#1,20251119,2
UH+f8#1,20251120,2
UH+f8#1,20251121,2
UH+f8#1,20251124,2
UH+f8#1,20251125,2
UH+f8#1,20251126,2
UH+f8#1,20251127,2
UH+f8#1,20251128,2
UH+f8#2,20250815,2
UH+f8#2,20251003,2
UR,20251101,2
UR#1,20250809,2
UR#1,20250816,2
UR#1,20250823,2
UR#1,20250830,2
UR#1,20250906,2
UR#1,20250913,2
UR#1,20250920,2
UR#1,20250927,2
UR#1,20251004,2
UR#1,20251011,2
UR#1,20251018,2
UR#1,20251025,2
UR#1,20251101,2
UR#1,20251108,2
UR#1,20251115,2
UR#1,20251122,2
UR#2,20251101,2
UR#3,20250809,2
UR#3,20250816,2
UR#3,20250823,2
UR#3,20250830,2
UR#3,20250906,2
UR#3,20250913,2
UR#3,20250920,2
UR#3,20250927,2
UR#3,20251004,2
UR#3,20251011,2
UR#3,20251018,2
UR#3,20251025,2
UR#3,20251101,2
UR#3,20251108,2
UR#3,20251115,2
UR#3,20251122,2
UR#3,20251129,2
UR#4,20251101,2
UR+b7,20250809,2
UR+b7,20250816,2
UR+b7,20250823,2
UR+b7,20250830,2
UR+b7,20250906,2
UR+b7,20250913,2
UR+b7,20250920,2
UR+b7,20250927,2
UR+b7,20251004,2
UR+b7,20251011,2
UR+b7,20251018,2
UR+b7,20251025,2
UR+b7,20251101,2
UR+b7,20251108,2
UR+b7,20251115,2
UR+b7,20251122,2
UR+b7#1,20251101,2
UR+b7#2,20251101,2
