Bauhauptgewerbe seit 2019;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;
;;2019;;;2020;;;2021;;;2022;;;2023;;
;;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes
;;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR
9778;    Unterallgäu (Lkr);233;4143;783258;233;4212;677762;242;4324;785876;254;4546;716557;257;4535;832037
9779;    Donau-Ries (Lkr);146;2079;336295;152;2137;331146;156;2171;363498;161;2231;357310;171;2273;418829
9780;    Oberallgäu (Lkr);249;2666;342913;250;2773;333784;260;2841;388630;264;2973;358116;270;2891;459512
9171111;      Altötting, St;7;76;8551;7;85;7103;8;88;8650;10;88;8627;12;79;9666
9171112;      Burghausen, St;7;127;12682;7;165;18228;9;181;26979;8;166;26471;9;173;29309
9171113;      Burgkirchen a.d.Alz;8;132;12011;7;116;12430;8;118;12924;10;130;16711;9;111;14434
9171114;      Emmerting;3;10;698;3;8;673;3;3;272;3;5;404;2;.;.
9171115;      Erlbach;1;.;.;1;.;.;3;4;253;3;3;237;4;10;413
9171116;      Feichten a.d.Alz;1;.;.;1;.;.;1;.;.;1;.;.;1;.;.
9171117;      Garching a.d.Alz;7;76;7598;7;74;7505;7;76;8569;7;78;8392;7;68;8632
9171118;      Haiming;1;.;.;1;.;.;1;.;.;1;.;.;2;.;.
9171119;      Halsbach;2;.;.;1;.;.;2;.;.;2;.;.;2;.;.
9171121;      Kastl;8;102;15241;8;129;18477;8;141;17778;8;222;28829;8;217;35445
9171122;      Kirchweidach;4;23;.;3;22;.;4;22;.;4;26;.;3;.;.
9171123;      Marktl, M;7;82;7413;7;80;11282;8;78;11048;8;75;10086;9;74;10922
9171124;      Mehring;7;87;12304;5;28;3063;6;40;5629;5;32;3829;6;28;4133
9171125;      Neuötting, St;6;33;2595;6;34;6168;6;31;5017;6;29;2009;5;68;9514
9171126;      Perach;3;90;9259;3;89;.;3;91;12998;2;.;.;2;.;.
9171127;      Pleiskirchen;5;56;7359;5;53;7496;5;57;7948;7;90;11907;7;82;13070
9171129;      Reischach;5;68;6707;5;66;6459;5;71;6338;5;71;6156;4;75;6615
9171130;      Stammham;1;.;.;–;–;–;1;.;.;1;.;.;1;.;.
9171131;      Teising;2;.;.;1;.;.;1;.;.;2;.;.;2;.;.
9171132;      Töging a.Inn, St;8;103;9781;6;80;13643;6;81;18411;7;96;18314;7;59;6680
9171133;      Tüßling, M;4;33;4424;3;16;.;2;.;.;4;38;3300;4;40;3755
9171134;      Tyrlaching;2;.;.;2;.;.;2;.;.;2;.;.;2;.;.
9171135;      Unterneukirchen;6;35;1754;6;31;1813;6;24;2404;7;23;2357;4;14;1584
9171137;      Winhöring;4;45;.;4;47;.;5;48;.;5;53;.;6;92;.
9172111;      Ainring;9;126;16266;11;128;18269;13;131;19874;14;147;21867;13;150;20965
9172112;      Anger;12;56;2810;9;41;2805;9;39;2597;9;35;2380;8;31;1968
9172114;      Bad Reichenhall, GKSt;11;166;25829;12;159;32464;12;163;23396;12;175;15954;14;191;26218
9172115;      Bayerisch Gmain;2;.;.;2;.;.;2;.;.;2;.;.;2;.;.
9172116;      Berchtesgaden, M;8;13;1563;8;19;1224;8;29;1749;8;33;2150;9;32;2468
9172117;      Bischofswiesen;9;73;5806;9;76;5551;11;90;8867;13;93;8592;13;90;8806
9172118;      Freilassing, St;8;171;.;8;206;46320;8;214;36577;11;232;43602;10;260;50320
9172122;      Laufen, St;5;.;997;7;20;1475;6;14;1688;6;16;2058;6;23;2792
9172124;      Marktschellenberg, M;4;15;1559;4;.;1151;4;.;1324;4;.;1385;4;.;.
9172128;      Piding;9;73;6392;8;151;8802;9;179;4957;11;193;6566;9;200;16854
9172129;      Ramsau b.Berchtesgaden;4;59;5093;4;56;7437;5;56;7914;5;60;5239;6;73;7690
9172130;      Saaldorf-Surheim;8;128;42954;7;82;.;7;70;.;6;64;.;6;88;35697
9172131;      Schneizlreuth;5;44;3670;4;40;4054;4;41;3873;4;37;4451;4;29;4785
9172132;      Schönau a.Königssee;7;143;19062;9;142;21629;8;142;20278;9;140;20221;8;134;21540
9172134;      Teisendorf, M;16;189;22436;17;203;23442;19;213;29637;20;195;28281;20;198;28048
9172444;      Gemeindefreie Gebiete;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
9173111;      Bad Heilbrunn;13;68;6209;14;66;6863;12;59;6978;14;64;8201;15;67;7454
9173112;      Bad Tölz, St;19;145;16048;23;165;21989;24;168;23161;22;156;20654;20;155;21743
9173113;      Benediktbeuern;10;56;5033;9;55;4860;10;58;6372;11;68;7143;10;67;8349
9173115;      Bichl;9;55;6223;8;54;6776;9;53;4948;10;55;5915;8;52;7677
9173118;      Dietramszell;46;255;36356;46;251;39088;48;248;44247;48;252;38910;53;265;42221
9173120;      Egling;23;89;10124;19;78;11651;23;94;12478;24;93;13962;25;101;15239
9173123;      Eurasburg;11;62;6268;12;66;6538;13;62;7968;14;73;7343;14;72;8496
9173124;      Gaißach;19;51;6832;21;65;8767;18;66;12281;19;74;8235;19;72;10412
9173126;      Geretsried, St;20;110;11821;23;117;8208;20;118;17157;20;115;10550;21;139;16631
9173127;      Greiling;4;33;5735;3;31;5280;4;34;5011;4;37;4746;4;32;4318
9173130;      Icking;7;24;1860;7;24;2809;7;28;2420;7;30;2440;7;27;3181
9173131;      Jachenau;6;37;4581;7;36;5865;7;37;6488;7;36;4907;7;38;6556
