Tourismus seit 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9184;    München (Lkr);162;14896;1316342;401662;914680;2473258;780508;1692750;1,9;1,9;1,9;–;–;–;163;15551;1268046;389435;878611;2545652;812423;1733229;2;2,1;2;–;–;–;150;13191;466383;101304;365079;1142452;259688;882764;2,4;2,6;2,4;–;–;–;154;15100;466203;86911;379292;1187215;256753;930462;2,5;3;2,5;–;–;–;156;16021;942421;247835;694586;2176165;600131;1576034;2,309121932;2,421494139;2,269026442;–;–;–;156;16607;1095021;307680;787341;2349606;715087;1634519;2,145717753;2,324125715;2,075998837;–;–;–
9185;    Neuburg-Schrobenhausen (Lkr);43;1226;68572;8485;60087;161455;23743;137712;2,4;2,8;2,3;–;–;–;46;1368;71393;9416;61977;167305;31650;135655;2,3;3,4;2,2;–;–;–;42;1295;41221;4399;36822;113080;19643;93437;2,7;4,5;2,5;–;–;–;41;1293;43157;4047;39110;115539;16225;99314;2,7;4;2,5;–;–;–;40;1284;60949;6841;54108;153261;21497;131764;2,514577762;3,142376845;2,435203667;–;–;–;37;1258;70031;9040;60991;168326;23160;145166;2,403592695;2,561946903;2,380121657;–;–;–
9186;    Pfaffenhofen a.d.Ilm (Lkr);49;2109;155307;37848;117459;295912;67492;228420;1,9;1,8;1,9;–;–;–;60;2539;165317;40195;125122;303000;74812;228188;1,8;1,9;1,8;–;–;–;57;2372;83295;16430;66865;195219;41328;153891;2,3;2,5;2,3;–;–;–;57;2348;86943;15511;71432;193584;35675;157909;2,2;2,3;2,2;–;–;–;60;2627;148543;36466;112077;283774;65457;218317;1,910382852;1,795014534;1,947919734;–;–;–;57;2517;161560;37512;124048;316036;79298;236738;1,956152513;2,113936874;1,908438669;–;–;–
9187;    Rosenheim (Lkr);344;14047;799895;125605;674290;2539836;239663;2300173;3,2;1,9;3,4;68196;388079;5,7;337;14050;829647;134364;695283;2594908;258110;2336798;3,1;1,9;3,4;78298;422620;5,4;331;13084;493899;50103;443796;1840554;113045;1727509;3,7;2,3;3,9;57241;352314;6,2;337;14065;494911;39793;455118;1898720;102003;1796717;3,8;2,6;3,9;54057;362099;6,7;344;14146;757512;100731;656781;2431175;216719;2214456;3,209421105;2,151462807;3,371680971;58981;362093;6,1;349;14570;834380;116898;717482;2568793;239819;2328974;3,078684772;2,05152355;3,246038228;67083;395392;5,9
9188;    Starnberg (Lkr);87;4680;300718;42300;258418;768275;107598;660677;2,6;2,5;2,6;6079;40645;6,7;87;4751;321395;48188;273207;821857;132309;689548;2,6;2,7;2,5;6280;42268;6,7;82;3985;170605;15704;154901;518084;45580;472504;3;2,9;3,1;4447;31668;7,1;85;4502;176158;15007;161151;543665;40759;502906;3,1;2,7;3,1;5505;32487;5,9;87;4691;262799;34058;228741;747508;91021;656487;2,844409606;2,672529215;2,870001443;466;2303;4,9;84;4361;270387;36879;233508;727398;102134;625264;2,690210698;2,76943518;2,677698409;2617;11617;4,4
9189;    Traunstein (Lkr);583;17540;762965;98269;664696;2961008;283263;2677745;3,9;2,9;4;132996;862403;6,5;588;18463;788990;100856;688134;3012648;296934;2715714;3,8;2,9;3,9;130159;849876;6,5;571;17345;573555;36706;536849;2579846;134948;2444898;4,5;3,7;4,6;111242;762775;6,9;564;17388;500378;27964;472414;2282599;104236;2178363;4,6;3,7;4,6;90400;646776;7,2;578;18230;739716;73047;666669;2886186;215437;2670749;3,901748779;2,949292921;4,006109479;93920;578010;6,2;571;17920;788179;89665;698514;2976265;251534;2724731;3,776128265;2,805264038;3,9007536;117235;719685;6,1
9190;    Weilheim-Schongau (Lkr);75;3335;178499;23493;155006;597874;52688;545186;3,3;2,2;3,5;12620;67645;5,4;72;3165;176500;23737;152763;599470;51645;547825;3,4;2,2;3,6;12834;65619;5,1;68;2919;106486;7919;98567;454224;24026;430198;4,3;3;4,4;12033;63979;5,3;72;3284;109458;7771;101687;479309;22860;456449;4,4;2,9;4,5;12398;67826;5,5;72;3272;169162;18671;150491;609828;48961;560867;3,604994029;2,622301966;3,726913902;15726;78381;5;77;3390;190285;21593;168692;656277;57364;598913;3,4489161;2,656601676;3,550334337;14832;75298;5,1
9261;    Landshut (Krfr.St);22;1609;119580;21642;97938;235120;38645;196475;2;1,8;2;–;–;–;29;2260;152471;26349;126122;319997;59218;260779;2,1;2,2;2,1;–;–;–;26;2180;77283;9441;67842;201858;28580;173278;2,6;3;2,6;–;–;–;23;2169;62790;8603;54187;179623;36300;143323;2,9;4,2;2,6;–;–;–;25;2251;110532;16750;93782;258736;48171;210565;2,340824377;2,875880597;2,245260284;–;–;–;26;2444;128934;21140;107794;291310;60396;230914;2,259373013;2,856953642;2,1421786;–;–;–
9262;    Passau (Krfr.St);41;3093;331264;75338;255926;573855;114387;459468;1,7;1,5;1,8;–;–;–;43;3171;353199;80522;272677;599922;120935;478987;1,7;1,5;1,8;–;–;–;39;2552;168407;33682;134725;320467;48171;272296;1,9;1,4;2;–;–;–;38;2415;152054;26738;125316;305049;38547;266502;2;1,4;2,1;–;–;–;40;2885;247360;46193;201167;456447;68815;387632;1,845274094;1,489727881;1,926916443;–;–;–;43;3248;310460;58474;251986;547089;82459;464630;1,762188366;1,410182303;1,843872279;–;–;–
9263;    Straubing (Krfr.St);20;993;83373;9889;73484;159663;18825;140838;1,9;1,9;1,9;–;–;–;20;1043;85182;10814;74368;161075;21093;139982;1,9;2;1,9;–;–;–;21;1067;49446;4979;44467;101901;9897;92004;2,1;2;2,1;–;–;–;20;1035;50170;5271;44899;107723;10992;96731;2,1;2,1;2,2;–;–;–;21;1086;75656;9857;65799;152327;18488;133839;2,013415988;1,875621386;2,034058268;–;–;–;20;1082;85300;11171;74129;164709;22095;142614;1,930937866;1,977889177;1,923862456;–;–;–
