;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;;Monatsber.i.Verarb.Gew.,Bergb.u.Gewnn.v.Stein.u.E.;;;Gewerbeanzeigenstatistik;
;;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen;Verarbeitende Betriebe;Beschäftigte in Verarbeitenden Betrieben;Bruttoentgelte;Gewerbeanmeldungen;Gewerbeabmeldungen
;;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl
9464;    Hof (Krfr.St);30;3445;120278;290;363;31;3728;132054;281;316;31;3685;132508;320;316;32;3472;114239;299;259;35;3475;124120;337;292;36;3446;129620;325;324;34;3142;120453;316;316
9471;    Bamberg (Lkr);70;10604;445448;1105;1026;78;11310;471997;1064;999;80;11488;484902;1144;976;81;11231;470133;997;919;86;10628;458685;1117;928;89;10736;466839;1074;964;86;10244;456205;1142;905
9472;    Bayreuth (Lkr);53;6049;259908;736;698;54;6216;276324;685;734;53;6345;287893;707;617;57;6288;274064;707;651;60;6347;286712;793;593;60;6592;304133;763;664;63;6625;319176;736;695
9473;    Coburg (Lkr);92;11511;402330;543;536;90;11509;419127;564;538;89;11400;426305;557;502;89;10926;395453;597;498;96;11054;405295;633;505;97;11147;421743;561;490;93;10308;420834;628;556
9474;    Forchheim (Lkr);48;8899;478129;896;783;52;9564;520056;900;716;54;9890;547640;869;729;51;9738;550694;920;711;53;9866;559090;1080;670;54;10203;603816;827;629;51;10226;626806;941;803
9475;    Hof (Lkr);105;14472;557488;611;629;105;14868;588214;643;582;105;14668;605492;596;619;104;14020;564306;657;540;102;14074;581097;694;560;102;14159;606485;648;536;101;14034;625701;615;604
9476;    Kronach (Lkr);92;10309;340753;363;372;92;11216;392495;380;378;95;11164;397800;388;383;96;10920;374028;434;309;97;10628;376161;474;355;96;10627;387815;442;387;95;10366;406780;441;391
9477;    Kulmbach (Lkr);67;8164;333692;485;461;68;8473;349119;470;452;73;8523;356020;457;466;73;8440;357212;481;408;76;8567;369802;544;369;74;8865;394697;535;487;74;9201;428850;541;398
9478;    Lichtenfels (Lkr);66;8627;300204;480;441;63;8549;313257;437;380;58;7937;297193;398;375;60;7594;277309;472;366;63;7121;276786;516;385;65;7165;288353;386;405;64;7023;290853;549;424
9479;    Wunsiedel i.Fichtelgebirge (Lkr);83;10440;388355;503;495;84;10912;417501;495;455;84;10929;437001;498;435;88;10666;398919;537;396;88;10250;419508;529;468;88;10712;449245;486;441;86;10765;470888;512;471
9561;    Ansbach (Krfr.St);22;5944;291646;335;310;23;6563;317260;360;354;24;.;.;373;362;24;6095;301581;347;283;24;6238;311311;365;303;25;6231;319640;341;299;25;6205;333210;363;297
