Volkszählung am 25. Mai 1987, Zensus am 9. Mai 2011 und 15. Mai 2022;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;
;;25.05.1987;;;;;;09.05.2011;;;;;;15.05.2022;;;;;
;;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte
;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;
;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;
;;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9678;Schweinfurt (Lkr);103697;81334;19813;1230;36768;6765;113084;76.691;21.311;3.022;47751;12704;114486;64727;19134;8304;50911;17058
9679;Würzburg (Lkr);138261;106301;26538;2563;51807;11723;158095;101.125;30.136;5.093;68892;20355;159854;84313;26947;11834;73345;26069
9761;Augsburg (Krfr.St);242819;161407;45939;28675;116776;48586;267767;123.044;44.978;42.467;138891;65132;294647;103151;37991;68110;153070;78035
9762;Kaufbeuren (Krfr.St);38946;26669;7999;2644;17911;6695;41550;20.236;8.948;3.882;20118;8358;45186;17159;7690;7848;21976;9876
9763;Kempten (Allgäu) (Krfr.St);59369;41077;10881;5334;28015;11297;64078;31.187;11.482;7.195;32261;14281;65050;24442;9427;10958;33947;17298
9764;Memmingen (Krfr.St);38127;21868;12160;3613;17090;6244;41241;17.339;11.212;5.011;19857;8273;43300;14149;9117;8742;20838;9348
9771;Aichach-Friedberg (Lkr);102793;86910;10018;3103;36156;7315;126387;86.484;13.322;5.717;51790;13937;134361;77340;11827;12353;57509;18713
9772;Augsburg (Lkr);190468;148951;27397;8635;71871;16425;237095;148.280;32.814;13.056;101711;29991;258116;131757;29096;27867;114234;39359
9773;Dillingen a.d.Donau (Lkr);80209;68265;8837;2363;28721;6587;93308;65.296;12.468;4.923;37366;10201;96914;58160;11449;10308;41182;13617
9774;Günzburg (Lkr);107120;87607;11640;6710;38901;9561;120182;79.931;14.206;9.865;49101;14489;127608;70764;12672;18263;55140;19313
9775;Neu-Ulm (Lkr);140666;94672;31094;11327;56226;15586;163854;83.671;31.994;15.885;72750;24488;178576;71986;27793;27619;82305;32045
9776;Lindau (Bodensee) (Lkr);69522;48841;14384;4995;28542;9080;78420;42.944;13.393;7.051;36772;13498;81771;36022;10951;11342;39829;17009
9777;Ostallgäu (Lkr);114547;95416;12345;4692;42920;11243;133586;92.502;14.531;6.787;58055;18090;139750;81987;12767;13451;63527;23446
9778;Unterallgäu (Lkr);115770;96306;14592;3389;42544;11055;135161;93.871;17.943;6.012;56053;16749;142261;83553;16276;14527;62941;22840
9779;Donau-Ries (Lkr);117483;79611;32984;3096;41843;9749;127920;75.469;33.635;5.780;52044;14940;133399;68971;30267;14591;57914;20773
9780;Oberallgäu (Lkr);128665;100360;19000;5545;51492;15388;148650;94.757;19.836;7.929;72491;25718;152066;80931;16854;13552;74001;30700
9171111;Altötting, St;10624;9298;889;385;4769;1988;12449;8.341;1.718;857;5.862;2.494;12950;6914;1430;2066;6373;3028
9171112;Burghausen, St;16736;12556;2800;1156;7757;2890;17489;9.773;2.688;1.878;8.724;3.628;19258;8423;2288;3866;9638;4542
9171113;Burgkirchen a.d.Alz;9194;7246;1304;591;3688;1003;9991;6.186;1.634;777;4.262;1.282;10679;5324;1404;1972;4778;1724
9171114;Emmerting;3285;2704;423;109;1202;227;4054;2.797;434;211;1.716;449;4124;2418;390;444;1827;633
9171115;Erlbach;1200;1153;23;4;313;29;1160;1.067;39;6;393;66;1205;1020;35;20;447;104
9171116;Feichten a.d.Alz;948;879;51;6;284;40;1170;969;57;44;440;95;1224;889;48;87;511;165
9171117;Garching a.d.Alz;7352;6370;651;276;2931;694;8495;6.048;825;463;3.735;1.240;8419;4872;707;946;3947;1640
9171118;Haiming;2103;1954;81;48;684;122;2448;2.047;125;68;919;211;2537;1870;115;137;1036;288
9171119;Halsbach;866;821;28;6;265;44;966;844;17;49;316;46;1074;805;26;105;402;120
9171121;Kastl;1754;1581;114;31;587;108;2665;2.002;254;108;1.043;242;2840;1850;209;153;1214;383
9171122;Kirchweidach;1661;1516;85;23;558;95;2231;1.790;175;47;866;202;2765;1826;165;286;1124;313
9171123;Marktl, M;2814;2483;214;44;998;228;2615;2.068;154;68;1.124;305;2770;1873;123;213;1237;413
9171124;Mehring;1857;1576;194;48;626;92;2234;1.649;202;102;833;147;2355;1451;201;178;972;250
9171125;Neuötting, St;7570;6312;873;207;3113;1045;8312;5.594;1.072;627;3.718;1.303;8760;4833;855;1460;4032;1660
9171126;Perach;1085;1025;43;15;340;59;1204;1.045;48;16;466;102;1304;1023;43;46;530;153
9171127;Pleiskirchen;2127;2020;81;5;583;62;2372;2.081;83;28;792;133;2475;1984;71;75;917;207
9171129;Reischach;2309;2194;76;18;685;85;2597;2.241;104;38;976;199;2649;2067;113;117;1064;293
9171130;Stammham;947;847;75;11;334;53;1014;798;75;27;413;100;996;636;62;64;464;141
9171131;Teising;1477;1270;143;39;524;92;1846;1.332;208;54;747;157;1744;1090;154;98;778;242
9171132;Töging a.Inn, St;8499;7293;864;209;3469;907;9097;6.135;1.313;410;4.083;1.304;9294;4960;1098;1164;4374;1757
9171133;Tüßling, M;2396;2223;144;20;938;274;3167;2.506;193;82;1.313;366;3281;2249;197;183;1474;516
9171134;Tyrlaching;861;797;25;10;275;41;953;809;43;14;343;66;1076;810;40;54;440;134
