;;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;Berichtsjahr;;;;;;;;;;;;
;;2017;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020
;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;;Veräußerungsfälle;;Veräußerte Fläche;;Verkaufspreis;;Durchschnittlicher Kaufwert von Bauland, EUR je qm;
;;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land;Bauland insgesamt;baureifes Land
;;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm;Anzahl;Anzahl;1000 qm;1000 qm;Tsd. EUR;Tsd. EUR;EUR/qm;EUR/qm
9271;    Deggendorf (Lkr);319;289;337;278;34059;31765;101,18;114,19;346;312;475;318;47312;37603;99,57;118,28;304;269;425;233;37887;28225;89,22;120,93;333;299;387;274;54062;47439;139,54;172,82
9272;    Freyung-Grafenau (Lkr);196;171;329;276;9662;8429;29,39;30,55;248;220;338;270;13303;12233;39,3;45,25;260;216;506;412;20478;19163;40,48;46,52;62;56;97;77;3379;2935;34,75;38,01
9273;    Kelheim (Lkr);319;269;487;236;46813;34909;96,16;147,78;347;298;414;253;51347;42106;124,06;166,73;220;178;248;169;38699;33678;155,99;199,01;249;217;265;188;53651;48618;202,17;258,99
9274;    Landshut (Lkr);474;390;583;358;66714;50658;114,45;141,43;341;269;619;313;67047;47973;108,23;153,43;435;374;473;282;71517;59919;151,13;212,46;429;395;565;314;96818;67236;171,39;214
9275;    Passau (Lkr);563;504;737;540;44431;37686;60,31;69,75;606;523;1127;572;59445;45307;52,74;79,23;603;514;1288;601;66550;49018;51,68;81,55;595;523;1007;640;74911;55715;74,36;87,09
9276;    Regen (Lkr);196;175;290;213;13001;10886;44,88;51,06;158;143;222;191;10716;10073;48,37;52,78;254;224;339;213;17049;13535;50,24;63,68;238;222;240;216;16309;15941;67,86;73,87
9277;    Rottal-Inn (Lkr);336;297;458;345;24282;21065;53;61,07;401;348;546;337;29023;22178;53,13;65,82;337;289;453;281;24619;18915;54,35;67,24;354;321;523;367;31594;26468;60,43;72,12
9278;    Straubing-Bogen (Lkr);492;450;536;378;43311;32972;80,78;87,19;348;319;367;282;28614;24826;78;88,05;335;303;552;312;55539;39028;100,64;125,12;347;316;423;266;37829;29341;89,4;110,32
9279;    Dingolfing-Landau (Lkr);456;401;705;358;59369;32813;84,16;91,57;337;272;494;256;39022;23843;79,06;93,05;404;357;448;263;43311;30228;96,63;115,09;325;292;308;259;34567;30083;112,33;116,36
9361;    Amberg (Krfr.St);29;23;73;43;7725;5185;106,54;120,03;102;93;130;75;14557;11913;111,66;158,7;44;40;57;43;9054;8495;159,37;198,23;30;25;42;27;7834;6429;184,51;241,02
9362;    Regensburg (Krfr.St);61;55;157;58;62311;51891;397,91;892,21;80;77;119;83;54006;50521;455,2;609,18;53;53;67;67;58133;58133;861,72;861,72;27;27;43;43;52968;52968;1230,72;1230,72
9363;    Weiden i.d.OPf. (Krfr.St);53;38;160;115;15507;12588;96,93;109,66;63;52;137;68;15861;11359;115,58;167,33;37;28;79;40;7079;5358;89,14;133,26;43;39;76;59;13803;12777;182,19;215,22
9371;    Amberg-Sulzbach (Lkr);355;261;507;213;21987;17435;43,33;82,05;247;186;327;169;17719;14589;54,11;86,21;335;294;465;273;32788;25075;70,57;91,9;343;310;402;265;28228;23323;70,2;87,91
9372;    Cham (Lkr);361;327;516;375;18991;16156;36,8;43,04;422;353;551;372;21557;18201;39,11;48,95;491;452;554;470;30277;27553;54,63;58,6;495;460;529;470;30019;28476;56,72;60,65
9373;    Neumarkt i.d.OPf. (Lkr);519;428;877;410;61302;41988;69,89;102,4;452;401;636;376;45407;37507;71,4;99,83;461;399;582;399;53538;45340;92,01;113,68;491;421;859;330;67847;42440;79;128,67
9374;    Neustadt a.d.Waldnaab (Lkr);337;298;530;263;20802;16977;39,24;64,59;354;309;590;309;20104;15555;34,07;50,27;345;304;466;302;18846;16160;40,45;53,54;346;302;677;282;24595;17162;36,33;60,92
9375;    Regensburg (Lkr);512;450;552;347;71125;62619;128,83;180,31;319;273;417;253;61806;52892;148,16;209,46;503;443;1416;1211;87661;79288;61,93;65,48;380;284;563;196;72693;45299;129,06;231,09
9376;    Schwandorf (Lkr);524;437;800;407;49289;37714;61,6;92,76;499;405;839;412;52679;39209;62,75;95,24;524;440;676;371;50840;41587;75,15;112,18;384;328;738;304;48804;33929;66,09;111,45
9377;    Tirschenreuth (Lkr);225;169;296;147;8826;6964;29,87;47,24;215;172;474;164;12356;8276;26,05;50,5;226;175;342;166;9006;7833;26,3;47,27;252;194;282;181;10190;8966;36,19;49,42
9461;    Bamberg (Krfr.St);34;27;47;27;11323;8674;239,76;317,9;28;23;39;29;9697;7707;249,86;270,1;49;43;108;49;26185;17326;243,25;351,05;23;23;373;373;8075;.;21,62;.
9462;    Bayreuth (Krfr.St);38;33;92;32;10816;4488;117,2;141,71;43;35;60;37;7709;6305;129,11;171,85;64;60;90;70;15484;11901;172,98;169,28;31;30;59;20;10529;.;178,24;.
9463;    Coburg (Krfr.St);64;61;82;78;10735;10121;131,07;130,28;38;36;59;56;10300;.;173,35;.;31;30;57;57;9986;.;175,2;.;32;32;41;41;8539;8539;206,07;206,07
9464;    Hof (Krfr.St);33;28;49;35;2310;1967;46,67;56,92;27;21;77;44;3227;.;41,85;.;34;25;107;32;4695;.;43,74;.;76;63;168;83;11331;8578;67,45;102,81
9471;    Bamberg (Lkr);433;347;606;312;41227;31231;68,07;100,24;405;328;544;274;41025;31267;75,4;114,06;356;306;524;308;39558;36617;75,53;118,98;418;358;512;282;47417;35767;92,68;126,96
9472;    Bayreuth (Lkr);310;214;604;226;18389;14918;30,43;65,92;308;244;401;236;17432;15697;43,5;66,53;336;266;493;264;20636;16604;41,84;62,83;286;211;475;238;18873;14965;39,75;62,86
9473;    Coburg (Lkr);228;185;314;194;12220;9481;38,88;48,83;269;217;488;225;15722;11637;32,19;51,77;269;239;355;245;17230;14562;48,54;59,34;240;222;295;240;17518;15870;59,44;66,15
9474;    Forchheim (Lkr);240;206;235;167;30428;27375;129,58;164,34;232;176;228;157;30658;26953;134,32;172,08;182;146;268;121;27890;20927;103,97;173,31;239;205;273;191;43968;37562;161,05;196,32
9475;    Hof (Lkr);200;144;453;165;7836;5144;17,29;31,13;218;160;399;179;7222;5166;18,08;28,82;261;208;294;213;7877;7066;26,75;33,1;282;242;671;263;18618;8825;27,74;33,6
9476;    Kronach (Lkr);123;88;139;84;4132;3200;29,73;38,03;124;72;138;69;3441;2359;24,86;33,96;132;106;136;102;4706;4246;34,58;41,49;165;152;176;139;6805;6164;38,77;44,21
9477;    Kulmbach (Lkr);164;113;414;111;9721;5744;23,46;51,95;187;135;392;128;9910;8165;25,27;63,98;229;147;691;147;12731;8932;18,42;60,62;281;197;654;196;15266;11714;23,34;59,76
9478;    Lichtenfels (Lkr);161;105;479;102;18046;7951;37,7;77,85;158;130;283;122;10846;8280;38,27;68,02;189;156;431;171;13215;10983;30,64;64,15;160;133;178;115;11193;9583;62,87;83,15
9479;    Wunsiedel i.Fichtelgebirge (Lkr);125;86;172;84;4047;3045;23,52;36,07;172;154;394;244;9630;7718;24,43;31,58;135;119;321;180;7432;5474;23,16;30,37;184;165;342;231;13525;11709;39,53;50,6
9561;    Ansbach (Krfr.St);36;30;94;57;7805;6100;82,69;107,3;56;53;247;49;24835;6348;100,58;129,45;24;21;33;17;3657;2942;112,25;175,38;31;26;45;22;5423;.;119,67;.
9562;    Erlangen (Krfr.St);46;46;46;46;33891;33891;732,16;732,16;42;39;58;48;38164;37759;655,07;791,38;30;30;64;64;29014;29014;454,11;454,11;73;66;79;62;46734;37081;589,8;599,99
9563;    Fürth (Krfr.St);57;39;188;94;36710;23361;195,72;249,64;49;36;83;42;33303;26832;400,45;637,11;27;19;43;10;13583;6852;317,56;675,98;41;36;110;30;37703;18871;342,4;618,82
9564;    Nürnberg (Krfr.St);162;141;471;162;173273;136084;368,03;839,19;148;129;311;166;156734;115728;503,59;698,94;154;132;282;162;215622;173061;765,13;1070,55;124;113;200;161;181260;170996;906,84;1060,36
9565;    Schwabach (Krfr.St);30;24;33;25;6668;6218;204,75;249,81;27;25;35;31;8991;.;259,88;.;37;31;63;50;22412;20034;358,37;401,37;31;29;32;28;12030;.;376,31;.
9571;    Ansbach (Lkr);602;510;721;454;33382;27565;46,31;60,78;566;506;834;513;42903;31106;51,44;60,62;617;543;852;476;47995;32692;56,34;68,64;581;521;795;526;48564;36661;61,07;69,67
9572;    Erlangen-Höchstadt (Lkr);384;361;357;276;63563;56776;177,82;205,91;390;374;335;283;62394;56501;186,16;199,42;339;313;309;219;61763;56252;200,2;257,01;229;216;216;181;51785;48430;240,1;268,31
9573;    Fürth (Lkr);190;179;169;117;38113;31223;225,23;267,27;189;174;206;120;41381;37408;200,44;312,75;139;123;333;126;72425;63549;217,2;502,55;70;62;85;44;22063;18361;259,46;416,57
9574;    Nürnberger Land (Lkr);344;279;533;324;73477;59162;137,79;182,42;355;305;350;239;57809;50736;165,3;212,72;289;241;279;189;45303;41902;162,42;221,56;330;296;348;238;73816;64859;212,24;272,91
9575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);385;331;431;249;27114;23412;62,91;93,98;271;238;326;238;19224;17298;58,99;72,82;338;273;472;223;22321;17241;47,29;77,25;381;329;455;269;29419;23804;64,67;88,59
9576;    Roth (Lkr);338;264;515;256;40670;34742;78,96;135,77;273;216;469;194;42125;32006;89,81;165,1;227;205;226;170;32288;30387;142,78;178,33;287;251;336;211;51307;43790;152,62;208,01
9577;    Weißenburg-Gunzenhausen (Lkr);259;218;321;195;19013;15588;59,16;79,77;268;245;260;198;19424;17549;74,84;88,45;229;209;244;168;15897;13449;65,09;79,9;273;252;334;235;21828;18960;65,33;80,81
9661;    Aschaffenburg (Krfr.St);46;37;36;27;12863;11124;352,59;419,56;57;51;94;45;41060;33494;438,89;744,96;56;55;41;41;23095;.;559,45;.;28;28;17;17;13864;13864;836,3;836,3
9662;    Schweinfurt (Krfr.St);33;21;107;43;8213;4852;76,46;112,77;50;31;173;34;16267;7341;93,98;212,89;42;31;127;32;12963;.;102,36;.;27;23;48;17;7757;5516;162,06;320,5
9663;    Würzburg (Krfr.St);83;69;164;86;43703;35382;265,84;411,06;47;36;96;50;26255;20742;272,16;414,77;64;44;133;59;35622;24820;268,82;417,33;84;53;190;78;73195;53961;385,29;691,77
9671;    Aschaffenburg (Lkr);330;272;460;202;60871;38177;132,23;188,6;287;245;420;156;45000;35803;107,14;229,27;327;273;316;185;46210;35317;146,38;190,81;296;249;315;172;50503;37482;160,23;218,13
9672;    Bad Kissingen (Lkr);289;223;794;181;11923;10020;15,02;55,43;247;203;336;183;11731;9305;34,87;50,96;275;224;349;190;13707;11506;39,28;60,55;335;280;498;235;20764;13458;41,69;57,36
