;;Rinder;;Milchkühe (2 Jahre und älter);;Schweine;;Mastschweine (50 kg Lebendgewicht und darüber);;Zuchtsauen;;Hühner;;Legehennen (6 Monate und älter);;Masthühner;;Schafe;;Pferde;;Rinder;;Milchkühe (2 Jahre und älter);;Schweine;;Mastschweine (50 kg Lebendgewicht und darüber);;Zuchtsauen;;Hühner;;Legehennen (6 Monate und älter);;Masthühner;;Schafe;;Pferde;;Rinder;;Milchkühe;;Schweine;;Zuchtsauen;;Andere Schweine;;Schafe;;Einhufer;;Hühner;;Legehennen;;Masthühner und -hähne;
;;Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Viehhalter (ab 1999);Viehbestand (ab 1999);Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere;Landwirtschaftliche Betriebe mit Viehhaltung;Tiere
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9183;    Mühldorf a.Inn (Lkr);1446;99699;1164;31332;215;44445;137;15206;109;4375;417;242189;408;98419;14;.;150;4721;235;1783;1094;92703;860;31547;110;42455;45;3501;104;24183;93;3853;155;1404;379;291719;364;96962;17;192259;982;84878;726;29030;93;38155;38;2694;84;23068;77;2083;143;1162;403;379532;391;142000;16;226813
9184;    München (Lkr);158;7489;94;2343;20;2379;13;561;7;.;48;2597;48;.;1;.;34;4647;96;1882;110;6661;64;2408;12;2021;2;.;12;1231;29;4655;84;1681;64;5692;63;5680;1;.;94;5976;49;2148;12;1317;2;.;12;779;23;3614;76;1538;82;6070;82;5940;2;.
9185;    Neuburg-Schrobenhausen (Lkr);678;34603;506;11377;294;34024;205;7889;162;5210;461;41188;456;14991;7;.;92;5984;143;912;420;26532;279;9237;113;26756;46;2376;100;16739;49;3819;81;711;300;100945;295;16985;9;.;324;23876;190;7906;81;25681;32;1730;72;18330;46;3731;75;643;286;39990;281;21737;8;.
9186;    Pfaffenhofen a.d.Ilm (Lkr);513;24279;355;8325;400;66315;215;14445;289;9882;288;82105;283;.;12;.;91;3888;155;1344;324;20236;209;7106;149;43111;65;3799;136;24075;62;1769;96;1055;212;27402;206;20216;11;.;265;17971;144;6125;109;36237;43;2619;102;22769;53;1266;83;903;194;29739;191;23113;8;.
9187;    Rosenheim (Lkr);2478;135056;2067;57110;159;9811;104;3167;35;1333;846;32663;839;29261;24;1226;241;9469;549;3337;1942;137524;1639;63041;105;7627;21;714;95;5256;174;7114;397;2883;758;69506;745;41155;24;27877;1768;129960;1434;60672;77;4704;19;268;67;3302;180;6960;378;2933;774;86418;768;73961;24;11964
9188;    Starnberg (Lkr);228;12323;173;4671;31;1794;23;1080;6;16;107;13488;107;12144;9;378;40;1669;131;2040;169;11407;121;4475;13;.;2;.;11;.;24;1707;97;1721;86;18526;86;18314;3;174;147;10178;99;4068;7;.;–;–;7;.;25;1967;77;1536;83;20763;82;20212;3;.
9189;    Traunstein (Lkr);2186;118328;1714;44113;149;40985;110;20451;40;2032;454;118722;447;29101;8;.;176;4428;561;2869;1663;114927;1314;47144;132;40586;31;1876;117;31890;129;3302;372;2426;515;282365;498;104448;17;177599;1495;106577;1121;44135;97;36219;25;1394;86;28916;152;3589;356;2478;509;315598;497;106051;25;209391
9190;    Weilheim-Schongau (Lkr);1487;76511;1205;33840;100;1216;64;424;12;.;381;20354;377;17265;11;2964;103;3385;512;3367;1209;75533;981;36353;50;832;10;.;43;645;108;4271;395;2918;336;24003;331;21767;8;.;1108;73337;863;35118;37;627;5;.;33;443;104;4151;356;2708;347;28269;341;27254;14;926
9261;    Landshut (Krfr.St);32;1883;23;580;12;5079;9;2732;6;.;16;359;16;359;–;–;4;58;8;70;23;1729;15;578;11;3241;6;.;9;2260;3;42;7;51;17;288;17;288;–;–;22;1645;13;.;8;3403;4;.;6;2535;5;102;5;37;17;341;17;305;1;.
9262;    Passau (Krfr.St);48;1614;28;539;8;403;7;100;2;.;30;846;30;846;–;–;5;336;11;105;28;.;16;.;4;.;1;.;4;.;2;.;13;95;24;533;23;.;1;.;22;1313;13;.;1;.;–;–;–;–;3;77;9;89;18;528;18;477;3;.
