;;Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot);Insgesamt;Dauergrünland;Wiesen (Schnittnutzung);Mähweiden;Ackerland;Getreide;Weizen;Roggen;Wintergerste;Sommergerste;Hülsenfrüchte;Hackfrüchte;Kartoffeln;Gemüse, Spargel, Erdbeeren u.a. Gartengewächse;Handelsgewächse;Winterraps;Pflanzen zur Grünernte;Grünmais/Silomais (einschl. Lieschkolbenschrot)
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
9184;    München (Lkr);19496,83;3572,31;2098,73;885,12;15853,24;9159,3;2445,72;264,16;628,3;3633,44;84,9;1274,09;1234,84;165,61;1919,83;1830,45;2105,4;940,14;19417,6;3335,69;1973,13;1193,26;16011,21;9729,3;2936,2;197,27;555,21;3572,47;215,46;1121,3;1081,45;205,37;1494,27;1419,35;2536,25;1381,15;19261;3680;2020;1277;15521;9770;3189;187;843;3287;302;1027;932;169;1365;1299;2596;1631;18368;3537;1968;1164;14767;8718;2640;238;758;3054;622;1068;1031;184;1088;965;2741;1764
9185;    Neuburg-Schrobenhausen (Lkr);44879,81;9508,02;8341,4;358,21;35250,54;17137,1;6277,7;2617,83;3172,78;1650,1;127,15;9207,72;8426,25;491,98;1806,78;1567,12;4766,4;4037,38;43364,84;8665,16;7344,75;942,49;34614,74;17819,93;6959,11;2642,31;2699,39;1152,31;.;8548,12;7804,4;530,1;2000,43;1503,58;4811,15;4316,45;42431;8337;7049;1025;34001;17915;6846;2298;2514;1070;351;7738;6970;601;1391;1010;5306;4572;41454;.;7071;999;33008;17310;5947;2287;2538;1235;489;7827;6949;555;1262;746;4947;4277
9186;    Pfaffenhofen a.d.Ilm (Lkr);40207,34;7561,6;6201,54;554,39;32569,02;15728,39;5686,27;1238,23;4278,16;872,73;225,55;1639,19;851,29;249,2;7640,33;2055,28;3994,36;2883,83;38188,75;6580,73;5302,26;1032,43;31525,11;15611,39;6118,18;1408,99;3454,32;652,32;326,8;1550,35;804,31;230,59;7339,29;1585,02;4093,92;3079,7;38947;6805;5535;1024;32009;17088;7056;1433;3362;688;437;1546;849;355;6964;1418;4160;3268;38439;6939;5629;1103;31395;16042;6235;1431;2894;720;448;1569;896;407;7235;1206;4166;2919
9187;    Rosenheim (Lkr);66662,36;50472,97;37812,91;7418,24;16124,05;5213,12;2418,47;67,6;886,72;237,87;25,99;53,5;42,16;81,22;225,32;117,5;10386,07;7686,38;64778;47877,38;33646,92;13763,28;16810,91;5482,07;2657,51;103,84;1038,56;130,32;33,31;55,75;39,29;78,65;157,72;46,58;10952,95;8810,94;64108;45521;30941;14075;18479;5152;2588;70;1113;117;110;39;25;60;126;34;12941;9309;64232;45367;29804;15096;18738;5385;2542;65;1295;189;178;39;22;60;129;16;12890;9614
9188;    Starnberg (Lkr);14431,36;7209,85;4526,84;2018,88;7151,84;4241,85;1695,17;116,55;629,84;733,94;41,22;159,63;.;10,53;651,62;634,88;1580,56;733,68;13914,71;6862,27;4185,7;2455;6986,72;4377,28;1708,24;144,98;507,81;783,98;127,65;159,8;117,74;9,35;507,57;496,8;1681,2;841,18;13627;6772;4015;2519;6791;4125;1610;78;419;972;85;123;85;.;549;485;1790;879;13661;6838;4203;2397;6770;3987;1358;45;401;1077;265;119;70;27;303;250;1951;844
9189;    Traunstein (Lkr);65250,02;36521,57;25256,03;6318,91;28664,59;11952,82;5022,48;158,51;2463,92;860,02;184,71;67,24;31,7;43,7;924,32;888,84;15109,71;10228,58;63239,41;34996,9;22104,25;11838,95;28163,12;12194,77;5163,93;194,33;2692,25;643,65;162,6;41,03;27,08;35,23;652,83;600,11;14772,96;10715,85;62367;33892;20737;12153;28440;10868;5074;215;2404;712;304;51;27;37;389;341;16664;11943;62080;.;20104;12592;28286;10666;4933;214;2395;674;396;178;28;21;490;349;16402;12251
9190;    Weilheim-Schongau (Lkr);48704,32;44906,99;20111,96;19721,11;3749,96;1379,16;527,43;47,91;419,62;115,24;13,29;12,58;12,58;20,26;22,82;.;2240,61;1399,28;47625,14;43376,99;17192,68;23899;4196,8;1439,1;533,74;61,45;484,29;58,84;.;11,46;11,46;20,76;30,07;.;2678,4;1832,44;47779;42791;16410;24107;4938;1437;548;48;478;52;23;8;8;17;6;–;3441;2131;47598;42530;17865;22351;5030;1540;598;46;513;109;23;.;.;11;.;.;3429;2204
9261;    Landshut (Krfr.St);2458,98;.;301,46;3,23;2142;1480,98;658,4;.;.;.;23,92;39,13;16,18;41,31;184,04;.;271,94;188;2517,72;.;280,39;.;2194,19;1583,57;777,92;.;.;.;37,02;52,99;15,11;47,47;139,72;.;282,86;172,98;2396;.;293;.;2060;1484;687;52;.;.;65;.;.;55;35;31;324;239;2278;.;304;42;1904;1319;644;.;246;18;.;39;14;42;27;.;347;252
9262;    Passau (Krfr.St);1318,58;.;541,93;38,38;621,99;349,01;101,87;.;.;.;.;.;.;1,44;.;.;225;148,01;1179,33;.;482,67;124,08;549,95;325,36;124,09;.;.;.;.;0,79;.;1,19;.;–;173,12;126,53;1147;.;462;86;558;296;135;.;65;–;.;.;.;1;5;–;233;165;1098;.;444;84;520;.;108;.;53;–;–;.;.;.;24;–;224;154
9263;    Straubing (Krfr.St);3532,99;211,61;172,78;14,27;3307,53;1467,81;1097,32;25,27;162,58;7,52;37,1;1300,17;679,02;105,52;122,56;66,58;84,38;46,59;3403,16;180,85;155,44;.;3208,43;1585,64;1199,55;22,8;.;.;12,92;1201,84;625,73;82,8;75,73;23,12;183,47;139,43;3295;287;226;.;2995;1403;1107;.;.;–;.;1189;644;79;85;.;100;77;3237;.;299;18;2897;1287;1020;–;.;.;15;1220;638;81;80;.;103;93
