Gemeinderatswahlen;;;;;;;;;Insgesamt;;;Christlich-Soziale Union in Bayern e.V. (CSU);;;BÜNDNIS 90/DIE GRÜNEN (GRÜNE);;;FREIE WÄHLER Bayern;;;Alternative für Deutschland (AfD);;;Sozialdemokratische Partei Deutschlands (SPD);;;Freie Demokratische Partei (FDP);;;Gemeinsame Wahlvorschläge;;;Wählergruppen;;;sonstige Wahlvorschläge;;
;;Stichtag;;;;;;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;;Gewichtete Stimmen;Sitze;
;;15.03.2020;15.03.2020;15.03.2020;15.03.2020;;;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;;;Geschlecht;
;;Wahl-/Stimmberechtigte im Verwaltungsbezirk;Wähler;Gültige Stimmzettel;Ungültige Stimmzettel;;;;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich;;männlich;weiblich
;;Anzahl;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9474;    Forchheim (Lkr);93412;63968;62197;1771;;9474;    Forchheim (Lkr);62197;418;112;13839;66;18;1568;5;6;–;–;–;269;1;–;5315;17;10;585;2;–;9120;39;17;31322;209;61;179;1;–
9475;    Hof (Lkr);78274;51404;50333;1071;;9475;    Hof (Lkr);50333;365;84;17988;123;26;813;3;1;–;–;–;620;2;1;10514;55;19;74;–;–;3912;29;13;16243;115;24;169;1;–
9476;    Kronach (Lkr);55699;36528;35590;938;;9476;    Kronach (Lkr);35590;229;56;13259;70;26;1007;2;2;449;4;1;1713;4;2;6635;46;10;–;–;–;2739;25;4;9788;63;11;–;–;–
9477;    Kulmbach (Lkr);59679;39726;38937;789;;9477;    Kulmbach (Lkr);38937;267;65;11965;75;15;1579;–;4;–;–;–;689;2;–;7710;33;18;708;3;–;3000;22;7;13284;104;21;2;–;–
9478;    Lichtenfels (Lkr);54994;34447;33567;880;;9478;    Lichtenfels (Lkr);33567;164;54;12105;60;18;2482;7;6;1872;9;2;594;–;1;6004;24;11;–;–;–;701;1;2;9809;47;14;–;–;–
9479;    Wunsiedel i.Fichtelgebirge (Lkr);59094;36523;35666;857;;9479;    Wunsiedel i.Fichtelgebirge (Lkr);35666;221;59;13468;84;20;1335;4;2;–;–;–;467;2;–;9369;59;21;87;–;–;–;–;–;10940;56;16;–;–;–
9561;    Ansbach (Krfr.St);32551;16321;15878;443;;9561;    Ansbach (Krfr.St);15878;35;6;4409;10;1;2156;3;2;1138;2;1;1006;3;–;2044;4;1;195;–;–;–;–;–;3923;9;1;1007;3;–
9562;    Erlangen (Krfr.St);83064;47933;46989;944;;9562;    Erlangen (Krfr.St);46989;36;23;14226;8;7;–;–;–;–;–;–;1724;2;–;10218;6;5;2152;1;1;12365;5;8;3619;3;1;2685;2;1
9563;    Fürth (Krfr.St);98567;47786;46856;930;;9563;    Fürth (Krfr.St);46856;29;21;8755;6;3;9354;5;5;1932;1;1;2759;3;–;19996;11;11;1190;1;–;–;–;–;–;–;–;2870;2;1
9564;    Nürnberg (Krfr.St);389547;183123;178998;4125;;9564;    Nürnberg (Krfr.St);178998;42;30;56099;11;11;35742;8;6;–;–;–;10178;4;–;46057;10;8;3777;1;–;8125;3;–;7839;1;2;11181;2;3
9565;    Schwabach (Krfr.St);32531;17129;16768;361;;9565;    Schwabach (Krfr.St);16768;25;15;5998;9;5;3986;5;5;1450;3;–;–;–;–;4219;5;5;628;2;–;–;–;–;–;–;–;487;1;–
9571;    Ansbach (Lkr);148083;93752;92145;1607;;9571;    Ansbach (Lkr);92145;780;153;19382;109;21;5527;18;11;1693;10;2;–;–;–;7195;28;18;–;–;–;15393;125;23;42607;388;78;348;1;–
9572;    Erlangen-Höchstadt (Lkr);108927;72167;70790;1377;;9572;    Erlangen-Höchstadt (Lkr);70790;356;118;19809;94;22;9221;22;23;3622;16;3;738;2;–;9777;32;20;1054;3;2;2683;16;3;23507;122;45;379;1;–
9573;    Fürth (Lkr);96258;59296;58048;1248;;9573;    Fürth (Lkr);58048;215;76;18359;65;25;8253;21;12;3950;13;5;1152;3;–;11928;39;15;1413;4;1;4666;12;6;7074;36;11;1253;5;1
9574;    Nürnberger Land (Lkr);136324;86965;85354;1611;;9574;    Nürnberger Land (Lkr);85354;376;131;27919;113;40;13727;29;27;–;–;–;323;2;–;15404;54;26;920;2;1;10521;51;14;15949;86;23;591;2;–
9575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);81086;53333;52330;1003;;9575;    Neustadt a.d.Aisch-Bad Windsheim (Lkr);52330;475;99;10752;63;14;2535;9;8;851;7;4;–;–;–;7318;39;6;–;–;–;7826;60;19;22810;230;47;238;1;1
9576;    Roth (Lkr);102196;62749;61340;1409;;9576;    Roth (Lkr);61340;252;91;21689;88;24;6949;16;15;2342;16;3;–;–;–;11967;36;25;966;2;2;7013;22;7;9469;49;14;945;2;1
9577;    Weißenburg-Gunzenhausen (Lkr);75309;46742;45870;872;;9577;    Weißenburg-Gunzenhausen (Lkr);45870;334;68;11098;36;11;3479;7;7;948;2;1;–;–;–;7102;23;14;604;1;1;4632;42;6;17726;188;28;281;1;–
9661;    Aschaffenburg (Krfr.St);53901;25776;24912;864;;9661;    Aschaffenburg (Krfr.St);24912;30;14;7571;9;5;5203;6;3;–;–;–;1336;1;1;6747;8;4;1264;2;–;–;–;–;1633;3;–;1158;1;1
9662;    Schweinfurt (Krfr.St);39206;17686;17159;527;;9662;    Schweinfurt (Krfr.St);17159;28;18;6547;12;5;2443;2;4;1230;2;1;1433;3;1;3013;4;4;441;1;–;549;–;1;482;–;1;1021;2;1
9663;    Würzburg (Krfr.St);102743;55041;53621;1420;;9663;    Würzburg (Krfr.St);53621;30;21;15684;7;7;17414;8;8;–;–;–;2054;2;–;4944;2;2;1863;2;–;3314;3;–;3459;3;1;4889;2;3
