Landtagswahlen seit 1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9271;    Deggendorf (Lkr);83220;50401;100798;98637;54296;–;–;4519;27216;2254;85726;54552;109096;107535;56768;5674;–;3800;30658;1036;89017;44777;89551;87925;57930;6369;–;3641;10735;1456;90516;46541;93079;91662;42123;12571;–;4784;10990;7342;91256;51728;103452;101854;54531;14646;–;4898;12789;3133;91726;62472;124941;123517;52891;20221;19270;10913;6792;4176;90871;64529;129057;128014;44277;35425;25611;7978;5702;2152
9272;    Freyung-Grafenau (Lkr);62007;35693;71386;70295;40678;–;–;2108;19350;1178;62947;39310;78620;77529;39420;2478;–;2504;22228;755;63862;27519;55036;54055;33432;2122;–;1919;7237;1138;63793;30595;61189;60342;25271;12318;–;2059;5725;4443;63622;35889;71777;70912;32057;17346;–;2443;7087;1973;63657;43638;87275;86205;31349;14980;13461;5921;4406;7428;63194;48129;96258;95469;26333;29051;21773;3819;3708;5305
9273;    Kelheim (Lkr);74998;49496;98991;97520;54187;–;–;4000;28355;2579;78681;54170;108338;106040;56012;6947;–;4140;30444;1240;83370;47697;95392;93899;58842;5799;–;4816;16084;2979;85120;48080;96159;94757;40997;11661;–;6220;16208;9985;86919;54516;109032;107625;53178;13796;–;6631;18004;3921;88212;62195;124388;123139;41489;30249;14178;13545;7832;4123;88537;65428;130854;129747;40466;40901;20523;10636;7935;2944
9274;    Landshut (Lkr);97185;64564;129126;127502;73889;–;–;7754;28644;3840;102341;70591;141176;139568;79134;8981;–;7227;31056;2208;109523;64299;128597;126717;83495;12246;–;6633;15210;2073;113228;67987;135971;134192;59763;26393;–;10059;14769;10289;115488;76000;151998;149999;69740;31125;–;10741;17693;4853;118247;88286;176571;174944;54234;45954;20571;21777;10403;7690;119816;92387;184772;183119;48037;68807;26913;15352;10160;4320
9275;    Passau (Lkr);134802;84251;168500;166201;97234;–;–;5630;44025;4142;139863;91035;182067;179751;99531;5078;–;5131;49703;2515;144663;71920;143839;141688;93685;5826;–;5440;21800;3708;147198;74555;149110;147124;68939;15657;–;8550;20519;12172;148644;86273;172545;170275;90830;19072;–;9724;27506;5125;150137;103262;206523;204382;82113;30890;29496;18747;15545;9109;150526;110953;221905;220144;69054;66559;42797;11805;12934;4014
9276;    Regen (Lkr);62428;40660;81317;79226;43770;–;–;4848;20917;866;63347;39572;79143;77648;44448;3646;–;2725;20014;248;63755;30645;61289;59824;40064;2648;–;2243;8487;825;63279;30843;61686;60414;27438;6728;–;2333;11187;4088;62576;35673;71344;69742;35150;7895;–;3626;11300;4372;62083;41175;82349;81547;31608;11618;13764;7667;5360;5261;61117;44319;88635;87635;32171;23624;19274;3880;3146;1802
9277;    Rottal-Inn (Lkr);86410;53157;106297;104617;64181;–;–;3995;22147;1838;88425;56847;113688;111917;68745;3251;–;3895;23467;1198;90794;46140;92276;90627;62086;4402;–;4487;11537;1450;91642;48919;97835;96318;47350;9559;–;5638;12437;8573;91833;54235;108469;106863;61097;10933;–;6310;12033;3063;91910;64255;128508;126876;54859;20331;14889;12740;6451;4740;91483;67525;135049;133704;41987;43448;21369;8606;5732;2458
9278;    Straubing-Bogen (Lkr);67060;46024;92048;90457;54412;–;–;2132;19889;1986;69646;49362;98724;97341;58021;9236;–;1743;16940;492;73332;44812;89621;88101;60547;7156;–;1731;8767;1312;75216;46624;93248;91783;45197;14039;–;2496;11017;5705;76494;50875;101748;100384;55879;16970;–;2816;9706;2727;77539;57761;115516;114239;51599;20352;15190;8832;4687;4143;78404;61297;122599;121655;44735;36336;20853;6682;4508;1905
9279;    Dingolfing-Landau (Lkr);63343;41957;83913;82540;47959;–;–;3333;21616;1216;66844;44420;88840;87339;50806;1484;–;3108;22152;997;69264;37964;75927;74318;48001;5477;–;2539;10519;1166;70165;38856;77712;76376;34968;7280;–;2631;13307;6540;71287;41897;83792;82419;38286;12184;–;3406;13480;3726;71169;48021;96039;94926;38641;15796;13963;7808;6833;3307;71173;51578;103154;102246;31867;30726;21039;5428;5043;2355
9361;    Amberg (Krfr.St);33363;21847;43692;43058;20828;–;–;2141;15959;1087;33125;21930;43858;43219;21023;1442;–;1715;15889;564;33635;16968;33933;33301;19176;1548;–;2327;7257;698;33610;17322;34640;34049;14552;2203;–;2240;7734;2896;33232;17920;35835;35187;16924;2158;–;2466;8295;870;32411;20732;41463;40879;15378;3573;5326;5677;4790;1839;31632;20274;40542;40211;15390;4963;7522;4620;3579;1004
